dataset,column,data_type,row_count,missing_count,missing_percentage,unique_values,duplicate_values
olist_customers_dataset.csv,customer_id,str,99441,0,0.0,99441,0
olist_customers_dataset.csv,customer_unique_id,str,99441,0,0.0,96096,3345
olist_customers_dataset.csv,customer_zip_code_prefix,int64,99441,0,0.0,14994,84447
olist_customers_dataset.csv,customer_city,str,99441,0,0.0,4119,95322
olist_customers_dataset.csv,customer_state,str,99441,0,0.0,27,99414
olist_geolocation_dataset.csv,geolocation_zip_code_prefix,int64,1000163,0,0.0,19015,981148
olist_geolocation_dataset.csv,geolocation_lat,float64,1000163,0,0.0,717360,282803
olist_geolocation_dataset.csv,geolocation_lng,float64,1000163,0,0.0,717613,282550
olist_geolocation_dataset.csv,geolocation_city,str,1000163,0,0.0,8011,992152
olist_geolocation_dataset.csv,geolocation_state,str,1000163,0,0.0,27,1000136
olist_order_items_dataset.csv,order_id,str,112650,0,0.0,98666,13984
olist_order_items_dataset.csv,order_item_id,int64,112650,0,0.0,21,112629
olist_order_items_dataset.csv,product_id,str,112650,0,0.0,32951,79699
olist_order_items_dataset.csv,seller_id,str,112650,0,0.0,3095,109555
olist_order_items_dataset.csv,shipping_limit_date,str,112650,0,0.0,93318,19332
olist_order_items_dataset.csv,price,float64,112650,0,0.0,5968,106682
olist_order_items_dataset.csv,freight_value,float64,112650,0,0.0,6999,105651
olist_order_payments_dataset.csv,order_id,str,103886,0,0.0,99440,4446
olist_order_payments_dataset.csv,payment_sequential,int64,103886,0,0.0,29,103857
olist_order_payments_dataset.csv,payment_type,str,103886,0,0.0,5,103881
olist_order_payments_dataset.csv,payment_installments,int64,103886,0,0.0,24,103862
olist_order_payments_dataset.csv,payment_value,float64,103886,0,0.0,29077,74809
olist_order_reviews_dataset.csv,review_id,str,99224,0,0.0,98410,814
olist_order_reviews_dataset.csv,order_id,str,99224,0,0.0,98673,551
olist_order_reviews_dataset.csv,review_score,int64,99224,0,0.0,5,99219
olist_order_reviews_dataset.csv,review_comment_title,str,99224,87656,88.34,4527,94696
olist_order_reviews_dataset.csv,review_comment_message,str,99224,58247,58.7,36159,63064
olist_order_reviews_dataset.csv,review_creation_date,str,99224,0,0.0,636,98588
olist_order_reviews_dataset.csv,review_answer_timestamp,str,99224,0,0.0,98248,976
olist_orders_dataset.csv,order_id,str,99441,0,0.0,99441,0
olist_orders_dataset.csv,customer_id,str,99441,0,0.0,99441,0
olist_orders_dataset.csv,order_status,str,99441,0,0.0,8,99433
olist_orders_dataset.csv,order_purchase_timestamp,str,99441,0,0.0,98875,566
olist_orders_dataset.csv,order_approved_at,str,99441,160,0.16,90733,8707
olist_orders_dataset.csv,order_delivered_carrier_date,str,99441,1783,1.79,81018,18422
olist_orders_dataset.csv,order_delivered_customer_date,str,99441,2965,2.98,95664,3776
olist_orders_dataset.csv,order_estimated_delivery_date,str,99441,0,0.0,459,98982
olist_products_dataset.csv,product_id,str,32951,0,0.0,32951,0
olist_products_dataset.csv,product_category_name,str,32951,610,1.85,73,32877
olist_products_dataset.csv,product_name_lenght,float64,32951,610,1.85,66,32884
olist_products_dataset.csv,product_description_lenght,float64,32951,610,1.85,2960,29990
olist_products_dataset.csv,product_photos_qty,float64,32951,610,1.85,19,32931
olist_products_dataset.csv,product_weight_g,float64,32951,2,0.01,2204,30746
olist_products_dataset.csv,product_length_cm,float64,32951,2,0.01,99,32851
olist_products_dataset.csv,product_height_cm,float64,32951,2,0.01,102,32848
olist_products_dataset.csv,product_width_cm,float64,32951,2,0.01,95,32855
olist_sellers_dataset.csv,seller_id,str,3095,0,0.0,3095,0
olist_sellers_dataset.csv,seller_zip_code_prefix,int64,3095,0,0.0,2246,849
olist_sellers_dataset.csv,seller_city,str,3095,0,0.0,611,2484
olist_sellers_dataset.csv,seller_state,str,3095,0,0.0,23,3072
product_category_name_translation.csv,product_category_name,str,71,0,0.0,71,0
product_category_name_translation.csv,product_category_name_english,str,71,0,0.0,71,0
