order_month,orders,customers,revenue,freight,avg_order_value
2016-09,4,4,267.36,87.39,88.6875
2016-10,324,321,49507.66,7301.18,175.33592592592595
2016-12,1,1,10.9,8.72,19.62
2017-01,800,765,120312.87,16875.62,171.4856125
2017-02,1780,1755,247303.02,38977.6,160.83180898876404
2017-03,2682,2642,374344.3,57704.29,161.09194258016407
2017-04,2404,2372,359927.23,52495.01,171.55667221297836
2017-05,3700,3625,506071.14,80119.81,158.42998648648648
2017-06,3245,3180,433038.6,69924.44,154.99631432973806
2017-07,4026,3947,498031.48,86940.14,145.2984649776453
2017-08,4331,4246,573971.68,94232.92,154.2841376125606
2017-09,4285,4212,624401.6900000001,95997.22,168.1210991831972
2017-10,4631,4561,664219.43,105092.94,166.1222997192831
2017-11,7544,7430,1010271.37,168872.4,156.30219644750795
2017-12,5673,5603,743914.17,119633.06,152.2205587872378
2018-01,7269,7166,950030.36,157271.53,152.33208006603383
2018-02,6728,6569,844178.71,142730.25,146.6868252080856
2018-03,7211,7115,983213.4400000001,171913.38,160.18954652614062
2018-04,6939,6882,996647.75,163050.29,167.1275457558726
2018-05,6873,6814,996517.68,153264.14,167.28965808235125
2018-06,6167,6128,865124.31,157552.8,165.8305675368899
2018-07,6292,6230,895507.22,163220.81,168.2657390336936
2018-08,6512,6460,854686.33,148622.14,154.070710995086
2018-09,16,14,145.0,21.46,10.40375
2018-10,4,4,0.0,0.0,0.0
