product_category_name_english,orders,items,revenue,freight,total_value,freight_ratio
health_beauty,8836,9670,1258681.34,182566.73,1441248.07,0.14504602888607215
watches_gifts,5624,5991,1205005.68,100535.93,1305541.6099999999,0.08343191378151844
bed_bath_table,9417,11115,1036988.68,204693.04,1241681.72,0.1973917786643534
sports_leisure,7720,8641,988048.97,168607.51,1156656.48,0.1706469164175132
computers_accessories,6689,7827,911954.32,147318.08,1059272.4,0.16154107368009396
furniture_decor,6449,8334,729762.49,172749.3,902511.79,0.23671989498939577
cool_stuff,3632,3796,635290.85,84039.1,719329.95,0.1322844489260313
housewares,5884,6964,632248.66,146149.11,778397.77,0.23115764294383792
auto,3897,4235,592720.11,92664.21,685384.32,0.15633721285414123
garden_tools,3518,4347,485256.46,98962.75,584219.21,0.20393906760149055
toys,3886,4117,483946.6,77425.95,561372.5499999999,0.15998862271167935
baby,2885,3065,411764.89,68353.11,480118.0,0.16600033577413556
perfumery,3162,3419,399124.87,54213.84,453338.70999999996,0.13583177615566777
telephony,4199,4545,323667.52999999997,71215.79,394883.31999999995,0.22002760054429926
office_furniture,1273,1691,273960.7,68571.95,342532.65,0.2502984917179727
stationery,2311,2517,230943.23,46798.48,277741.71,0.20264062297907587
computers,181,203,222963.13,9836.3,232799.43,0.04411626263050756
pet_shop,1710,1947,214315.41,39561.24,253876.65,0.1845935390273616
musical_instruments,628,680,191498.88,18638.49,210137.37,0.09732949874171588
small_appliances,630,679,190648.58,16020.25,206668.83,0.08403026133213266
unknown,1473,1627,185049.76,28613.14,213662.90000000002,0.1546240319360587
electronics,2550,2767,160246.74,46578.32,206825.06,0.29066625629950416
consoles_games,1062,1137,157465.22,19828.02,177293.24,0.12591999680945418
fashion_bags_accessories,1864,2031,152823.54,31450.0,184273.54,0.20579290337077652
construction_tools_construction,748,929,144677.59,20650.41,165328.0,0.1427339921822032
luggage_accessories,1034,1092,140429.98,30445.23,170875.21000000002,0.21680007360251705
home_appliances_2,234,238,113317.74,10600.18,123917.92000000001,0.09354387053606963
home_construction,490,604,83088.12,13832.24,96920.36,0.16647674781906246
home_appliances,764,771,80171.53,14818.9,94990.43,0.1848399300849067
agro_industry_and_commerce,182,212,72530.47,5843.6,78374.07,0.0805675187269571
furniture_living_room,422,503,68916.56,17968.170000000002,86884.73,0.26072354743185094
fixed_telephony,217,264,59583.0,4637.81,64220.81,0.07783780608562846
home_confort,397,434,58572.04,8501.23,67073.27,0.14514143608452088
air_conditioning,253,297,55024.96,6749.23,61774.19,0.1226576084744087
audio,350,364,50688.5,5710.44,56398.94,0.11265750614044605
small_appliances_home_oven_and_coffee,75,76,47445.71,2747.86,50193.57,0.05791587901203291
books_general_interest,512,553,46856.88,9195.52,56052.399999999994,0.19624695455608657
kitchen_dining_laundry_garden_furniture,248,281,46328.37,11999.43,58327.8,0.25900824915705
construction_tools_lights,244,304,41080.0,7583.8,48663.8,0.18461051606621226
construction_tools_safety,167,194,40544.52,3919.1,44463.619999999995,0.09666164502625756
industry_commerce_and_business,235,268,39669.61,7884.68,47554.29,0.1987586971487746
food,450,510,29393.41,7271.03,36664.44,0.24736939334361
market_place,280,311,28378.47,5456.06,33834.53,0.19226054117787184
costruction_tools_garden,194,238,25715.89,5311.4,31027.29,0.20654155854609738
art,202,209,24202.64,4045.17,28247.809999999998,0.16713755193648297
fashion_shoes,240,262,23562.77,4918.87,28481.64,0.20875601637668237
drinks,297,379,22428.7,5741.25,28169.95,0.2559778319742116
signaling_and_security,140,199,21509.23,6507.820000000001,28017.05,0.3025594128660115
furniture_bedroom,95,109,20028.78,4632.23,24661.01,0.23127868996514014
books_technical,260,267,19096.06,4283.06,23379.120000000003,0.2242902462602233
costruction_tools_tools,97,103,15903.95,2030.22,17934.170000000002,0.1276550793985142
food_drink,227,278,15179.48,4507.99,19687.47,0.29697921140908645
fashion_male_clothing,112,132,10797.82,2152.41,12950.23,0.19933745885743603
fashion_underwear_beach,121,131,9541.55,1916.19,11457.74,0.2008258616262557
christmas_supplies,128,153,8800.82,3229.2999999999997,12030.119999999999,0.36693171772630273
tablets_printing_image,79,83,7528.41,1226.2,8754.61,0.1628763576904021
cine_photo,65,72,6933.46,1256.2,8189.66,0.18117938229974645
music,38,38,6034.35,690.51,6724.860000000001,0.11442988888612692
dvds_blu_ray,59,64,5999.39,1288.74,7288.13,0.21481183920365235
books_imported,53,60,4639.85,769.85,5409.700000000001,0.1659213121113829
party_supplies,39,43,4485.18,827.97,5313.150000000001,0.18460128690487337
furniture_mattress_and_upholstery,38,38,4368.08,1630.46,5998.54,0.37326697313236024
fashio_female_clothing,39,48,2803.64,621.75,3425.39,0.2217652765690317
fashion_sport,27,30,2119.51,578.13,2697.6400000000003,0.27276587513151623
la_cuisine,13,14,2054.99,333.55,2388.54,0.1623122253636271
arts_and_craftmanship,23,24,1814.01,370.13,2184.14,0.2040396690205677
diapers_and_hygiene,27,39,1567.59,573.68,2141.27,0.36596303880478953
flowers,29,33,1110.04,488.87,1598.9099999999999,0.44040755288097727
home_comfort_2,24,30,760.27,410.31,1170.58,0.5396898470280296
cds_dvds_musicals,12,14,730.0,224.98999999999998,954.99,0.3082054794520548
fashion_childrens_clothes,8,8,569.85,95.51,665.36,0.16760551022198825
security_and_services,2,2,283.28999999999996,41.22,324.51,0.14550460658688977
