customer_state,orders,customers,revenue,avg_order_value,late_orders,avg_delivery_days,avg_freight,avg_review,late_delivery_rate
AL,397,387,78855.72,237.21030226700253,95,24.543855361974067,38.581284634760706,3.8527918781725887,23.929471032745592
MA,717,700,117009.38,206.14163179916315,141,21.572976474120562,42.948633193863316,3.833567415730337,19.665271966527197
PI,476,464,84721.0,220.96258403361344,76,19.45709826291628,42.97728991596638,3.9936305732484074,15.966386554621847
CE,1279,1258,219757.38,208.31647380766225,196,21.26657863492891,36.49678655199374,3.941869599371563,15.32447224394058
SE,335,329,56574.19,209.8182985074627,51,21.519788280818133,40.940119402985076,3.907185628742515,15.223880597014924
BA,3256,3158,493584.14,181.55338144963147,457,19.335465824489262,29.96120085995086,3.930009290802106,14.035626535626536
RJ,12353,11920,1760022.52,166.4221104185218,1664,15.310052815555375,23.94477535821258,3.9644124229026803,13.470412045656927
TO,274,267,48402.51,219.005,35,17.65806260982698,42.35350364963504,4.153846153846154,12.773722627737227
PA,946,922,174470.59,224.1263953488372,117,23.77291691136168,39.69659619450317,3.909967845659164,12.367864693446089
ES,1995,1928,268643.45,159.22703258145364,244,15.789307110368513,24.56866165413534,4.079735906551549,12.230576441102757
MS,701,681,115429.97,191.67981455064194,81,15.618319018465684,27.015092724679032,4.160228898426324,11.554921540656206
PB,517,504,112586.82,266.6122823984526,57,20.426767609606706,48.84280464216634,4.076171875,11.02514506769826
PE,1593,1551,251889.49,193.95608913998743,172,18.448322994408407,35.833370998116756,4.082963901203294,10.797237915881984
RN,474,464,82105.66,212.4784388185654,51,19.27815620604782,39.25974683544304,4.149681528662421,10.759493670886076
SC,3547,3450,507147.13,167.826695799267,346,14.959297453377397,24.847521849450242,4.132386363636364,9.754722300535663
GO,1957,1895,282836.7,170.77789984670412,160,15.606338535456764,26.25224833929484,4.10431654676259,8.175779253960142
RS,5344,5167,728718.47,161.167438248503,382,15.300276192406853,24.80544910179641,4.185598948554262,7.1482035928143715
DF,2080,2019,296498.41,166.40545673076923,147,12.96756810897436,23.85814423076923,4.133816425120773,7.0673076923076925
MT,886,856,152191.62,204.5422347629797,60,18.05575601172561,32.768397291196386,4.146188850967008,6.772009029345373
SP,40495,39150,5066672.78,142.45359797505864,2387,8.76135656379617,17.335119644400546,4.2465376942243855,5.8945548833189285
MG,11355,11002,1552511.82,160.18808982826948,638,12.010258342914689,23.463138705416117,4.192362218678008,5.618670189343901
PR,4923,4769,666063.51,158.78708104814137,246,11.991582227413277,23.490816575258986,4.239591836734694,4.996953077391835
AP,67,66,13374.81,240.92253731343283,3,27.185067716970703,41.298507462686565,4.242424242424242,4.477611940298507
AM,145,140,22155.84,190.2446206896552,6,26.42599090038314,37.44572413793104,4.243055555555555,4.137931034482759
AC,80,76,15930.97,244.69162500000002,3,21.035712962962965,45.554500000000004,4.0875,3.75
RO,243,231,45682.76,234.42798353909464,7,19.37203651310776,46.43308641975309,4.1652892561983474,2.880658436213992
